,S. No.,Message_body,Label,cleaned,target
670,671,2 and half years i missed your friendship:-),Non-Spam,half year missed friendship,0
671,672,Want the latest Video handset? 750 anytime any network mins? Half price line rental? Reply or call 08000930705 for delivery tomorrow,Spam,want latest video handset anytime network min half price line rental reply call delivery tomorrow,1
672,673,Convey my regards to him,Non-Spam,convey regard,0
673,674,Send me the new number,Non-Spam,send new number,0
674,675,Miserable. They don't tell u that the side effects of birth control are massive gut wrenching cramps for the first 2 months. I didn't sleep at all last night.,Non-Spam,miserable tell side effect birth control massive gut wrenching cramp first month sleep last night,0
675,676,Its worse if if uses half way then stops. Its better for him to complete it.,Non-Spam,worse half way stop better,0
676,677,Sounds like there could be a lot of time spent in that chastity device boy ... *grins* ... Or take your beatings like a good dog. Going to lounge in a nice long bath now ?,Non-Spam,sound like could lot time spent chastity device boy grin take beating like good dog going lounge nice long bath,0
677,678,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ...",Non-Spam,japanese proverb one none itu must indian version one let none itleave finally kerala version one stop none make strike,0
678,679,You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later.,Non-Spam,pls make note shes exposed also find school anyone else vomiting dog cat house let know later,0
679,680,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.,Spam,today vodafone number ending selected receive award number match call receive award,1
680,681,Or just do that 6times,Non-Spam,time,0
681,682,Poor girl can't go one day lmao,Non-Spam,poor girl one day lmao,0
682,683,For many things its an antibiotic and it can be used for chest abdomen and gynae infections even bone infections.,Non-Spam,many thing antibiotic used chest abdomen gynae infection even bone infection,0
683,684,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",Non-Spam,new theory argument win situation loses person dont argue friend kick amp say always correct,0
684,685,As usual u can call me ard 10 smth.,Non-Spam,usual call ard smth,0
685,686,When/where do I pick you up,Non-Spam,whenwhere pick,0
686,687,alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap,Non-Spam,alright tyler got minor crisis home sooner thought asap,0
687,688,Yeah just open chat and click friend lists. Then make the list. Easy as pie,Non-Spam,yeah open chat click friend list make list easy pie,0
688,689,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,Spam,polyphonic tone mob every week txt tone free get txtin tell friend ptone reply info,1
689,690,The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences...,Non-Spam,world happiest frnds never character dey best understanding difference,0
690,691,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,Spam,lyricalladief inviting friend reply yes see stop send stop frnd,1
691,692,"I know dat feelin had it with Pete! Wuld get with em , nuther place nuther time mayb?",Non-Spam,know dat feelin pete wuld get nuther place nuther time mayb,0
692,693,Wat happened to the cruise thing,Non-Spam,wat happened cruise thing,0
693,694,Lol! Oops sorry! Have fun. ,Non-Spam,lol oops sorry fun,0
694,695,Hi dis is yijue i would be happy to work wif ü all for gek1510...,Non-Spam,dis yijue would happy work wif gek,0
695,696,Well. You know what i mean. Texting,Non-Spam,well know mean texting,0
696,697,Dip's cell dead. So i m coming with him. U better respond else we shall come back.,Non-Spam,dip cell dead better respond else shall back,0
697,698,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.,Non-Spam,tension face smiling face waste face innocent face terror face cruel face romantic face lovable face decent face ltgt joker face,0
698,699,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",Non-Spam,watching cartoon listening music amp eve temple amp church,0
699,700,Okey dokey swashbuckling stuff what oh.,Non-Spam,okey dokey swashbuckling stuff,0
700,701,"Oh! Shit, I thought that was your trip! Loooooool ... That just makes SO much more sense now ... *grins* and the sofa reference was ... The ""sleep on a couch"" link you sent me ... Wasn't that how you went on your trip ? Oh ... And didn't your babe go with you for that celebration with your rents?",Non-Spam,shit thought trip loooooool make much sense grin sofa reference sleep couch link sent went trip babe celebration rent,0
701,702,I'm really sorry I lit your hair on fire,Non-Spam,really sorry lit hair fire,0
702,703,Sorry da..today i wont come to play..i have driving clas..,Non-Spam,sorry datoday wont playi driving clas,0
703,704,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,Spam,bored housewife chat date btnational rate pmin landline,1
704,705,**FREE MESSAGE**Thanks for using the Auction Subscription Service. 18 . 150p/MSGRCVD 2 Skip an Auction txt OUT. 2 Unsubscribe txt STOP CustomerCare 08718726270,Spam,free messagethanks using auction subscription service pmsgrcvd skip auction txt unsubscribe txt stop customercare,1
705,706,Nokia phone is lovly..,Non-Spam,nokia phone lovly,0
706,707,"Response is one of d powerful weapon 2 occupy a place in others 'HEART'... So, always give response 2 who cares 4 U""... Gud night..swt dreams..take care",Non-Spam,response one powerful weapon occupy place others always give response care gud nightswt dreamstake care,0
707,708,"Hey, a guy I know is breathing down my neck to get him some bud, anyway you'd be able to get a half track to usf tonight?",Non-Spam,hey guy know breathing neck get bud anyway able get half track usf tonight,0
708,709,Ok...,Non-Spam,,0
709,710,Thanks  and ! Or bomb and date as my phone wanted to say! ,Non-Spam,thanks bomb date phone wanted say,0
710,711,yes baby! I need to stretch open your pussy!,Non-Spam,yes baby need stretch open pussy,0
711,712,Same to u...,Non-Spam,,0
712,713,"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent.",Non-Spam,also north carolina texas atm would gre site pay test result sent,0
713,714,I'm fine. Hope you are also,Non-Spam,fine hope also,0
714,715,I liked your new house,Non-Spam,liked new house,0
715,716,Gain the rights of a wife.dont demand it.i am trying as husband too.Lets see,Non-Spam,gain right wifedont demand iti trying husband toolets see,0
716,717,Maybe you should find something else to do instead???,Non-Spam,maybe find something else instead,0
717,718,either way works for me. I am  &lt;#&gt;  years old. Hope that doesnt bother you.,Non-Spam,either way work ltgt year old hope doesnt bother,0
718,719,S.this will increase the chance of winning.,Non-Spam,sthis increase chance winning,0
719,720,I am in escape theatre now. . Going to watch KAVALAN in a few minutes,Non-Spam,escape theatre going watch kavalan minute,0
720,721,Pls help me tell Ashley that i cant find her number oh,Non-Spam,pls help tell ashley cant find number,0
721,722,Missing you too.pray inshah allah,Non-Spam,missing toopray inshah allah,0
722,723,YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a £150 prize. To collect is easy. Just call 09061743386 ,Spam,valued vodafone customer picked win prize collect easy call,1
723,724,I need details about that online job.,Non-Spam,need detail online job,0
724,725,"Awesome, that gonna be soon or later tonight?",Non-Spam,awesome gon soon later tonight,0
725,726,"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",Non-Spam,hmmm mayb try shoppin area one forgot name hotel,0
726,727,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,Spam,private account statement show unredeemed point call identifier code expires,1
727,728,That's one of the issues but california is okay. No snow so its manageable,Non-Spam,one issue california okay snow manageable,0
728,729,All boys made fun of me today. Ok i have no problem. I just sent one message just for fun,Non-Spam,boy made fun today problem sent one message fun,0
729,730,....photoshop makes my computer shut down.,Non-Spam,photoshop make shut,0
730,731,Yay can't wait to party together!,Non-Spam,yay wait party together,0
731,732,"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK.",Non-Spam,rite well best mate pete went week geva longer week,0
732,733,I hope your pee burns tonite.,Non-Spam,hope pee burn tonite,0
733,734,"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY £1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION.",Spam,new mobile must txt nokia collect today optout gbpmtmsg txtauction,1
734,735,Rats. Hey did u ever vote for the next themes?,Non-Spam,rat hey ever vote next theme,0
735,736,Po de :-):):-):-):-). No need job aha.,Non-Spam,need job aha,0
736,737,"The word ""Checkmate"" in chess comes from the Persian phrase ""Shah Maat"" which means; ""the king is dead.."" Goodmorning.. Have a good day..:)",Non-Spam,word checkmate chess persian phrase shah maat mean king dead goodmorning good day,0
737,738,"How long before you get reply, just defer admission til next semester",Non-Spam,long get reply defer admission til next semester,0
738,739,Lol no. Just trying to make your day a little more interesting,Non-Spam,lol trying make day little interesting,0
739,740,Yup but it's not giving me problems now so mayb i'll jus leave it...,Non-Spam,yup giving problem mayb jus leave,0
740,741,"Haha, just what I was thinkin",Non-Spam,haha thinkin,0
741,742,I am going to sleep. I am tired of travel.,Non-Spam,going sleep tired travel,0
742,743,Not thought bout it... || Drink in tap & spile at seven. || Is that pub on gas st off broad st by canal. || Ok?,Non-Spam,thought bout drink tap spile seven pub gas broad canal,0
743,744,:-) :-),Non-Spam,,0
744,745,u r a winner U ave been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),Spam,winner ave specially selected receive cash holiday flight inc speak live operator claim pmin,1
745,746,Im good! I have been thinking about you...,Non-Spam,good thinking,0
746,747,Check Out Choose Your Babe Videos @ sms.shsex.netUN fgkslpoPW fgkslpo,Spam,check choose babe video smsshsexnetun fgkslpopw fgkslpo,1
747,748,Got smaller capacity one? Quite ex...,Non-Spam,got smaller capacity one quite,0
748,749,How's ur paper?,Non-Spam,paper,0
749,750,Me too. Mark is taking forever to pick up my prescription and the pain is coming back.,Non-Spam,mark taking forever pick prescription pain back,0
750,751,Anything is valuable in only 2 situations: First- Before getting it... Second- After loosing it...,Non-Spam,anything valuable situation first getting second loosing,0
751,752,Ü no home work to do meh... ,Non-Spam,home work meh,0
752,753,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,Non-Spam,ummmmmaah many many happy return day dear sweet heart happy birthday dear,0
753,754,i can call in  &lt;#&gt;  min if thats ok,Non-Spam,call ltgt min thats,0
754,755,"fyi I'm at usf now, swing by the room whenever",Non-Spam,fyi usf swing room whenever,0
755,756,E admin building there? I might b slightly earlier... I'll call u when i'm reaching...,Non-Spam,admin building might slightly earlier call reaching,0
756,757,"Honey, can you pls find out how much they sell Predicte in Nigeria. And how many times can it be used. Its very important to have a reply before monday",Non-Spam,honey pls find much sell predicte nigeria many time used important reply monday,0
757,758,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself",Non-Spam,worry though understand important put place poorly thought punishment face worst thing ever happened brb gon kill,0
758,759,What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.,Non-Spam,oga left phone home saw message hope good great weekend,0
759,760,PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05,Spam,private account statement show unredeemed bonus point claim call identifier code expires,1
760,761,Call me when u finish then i come n pick u.,Non-Spam,call finish pick,0
761,762,Sorry for the delay. Yes masters,Non-Spam,sorry delay yes master,0
762,763,"Er, hello, things didnt quite go to plan  is limping slowly home followed by aa and with exhaust hanging off",Non-Spam,hello thing didnt quite plan limping slowly home followed exhaust hanging,0
763,764,How do you plan to manage that,Non-Spam,plan manage,0
764,765,Reverse is cheating. That is not mathematics.,Non-Spam,reverse cheating mathematics,0
765,766,"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?",Non-Spam,guy car shop flirting got phone number paperwork called texted nervous course may address call bos tell knowing may get fired,0
766,767,"its cool but tyler had to take off so we're gonna buy for him and drop it off at his place later tonight. Our total order is a quarter, you got enough?",Non-Spam,cool tyler take gon buy drop place later tonight total order quarter got enough,0
767,768,I dont know why she.s not getting your messages,Non-Spam,dont know shes getting message,0
768,769,Just come home. I don't want u to be miserable,Non-Spam,home want miserable,0
769,770,Santa calling! Would your little ones like a call from Santa Xmas Eve? Call 09077818151 to book you time. Calls1.50ppm last 3mins 30s T&C www.santacalling.com,Spam,santa calling would little one like call santa xmas eve call book time callsppm last min,1
770,771,URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893,Spam,urgent attempt contact prize yesterday still awaiting collection claim call,1
771,772,Saw Guys and Dolls last night with Patrick Swayze it was great,Non-Spam,saw guy doll last night patrick swayze great,0
772,773,Sorry that was my uncle. I.ll keep in touch,Non-Spam,sorry uncle ill keep touch,0
773,774,Or u ask they all if next sat can a not. If all of them can make it then i'm ok lor.,Non-Spam,ask next sat make lor,0
774,775,Gd luck 4 ur exams :-),Non-Spam,luck exam,0
775,776,Send me your resume:-),Non-Spam,send resume,0
776,777,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.,Non-Spam,yup izzit still raining heavily mrt outside,0
777,778,We're on the opposite side from where we dropped you off,Non-Spam,opposite side dropped,0
778,779,"Thanx. Yup we coming back on sun. Finish dinner going back 2 hotel now. Time flies, we're tog 4 exactly a mth today. Hope we'll haf many more mths to come...",Non-Spam,thanx yup back sun finish dinner going back hotel time fly tog exactly mth today hope haf many mths,0
779,780,Ü thk of wat to eat tonight.,Non-Spam,thk wat eat tonight,0
780,781,Holy living christ what is taking you so long,Non-Spam,holy living christ taking long,0
781,782,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or £10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+",Spam,urgent call landline ibiza holiday cash await collection sae box ppm,1
782,783,Indeed and by the way it was either or - not both !,Non-Spam,indeed way either,0
783,784,"Especially since i talk about boston all up in my personal statement, lol! I woulda changed that if i had realized it said nyc! It says boston now.",Non-Spam,especially since talk boston personal statement lol woulda changed realized said nyc say boston,0
784,785,"Call me, i am senthil from hsbc.",Non-Spam,call senthil hsbc,0
785,786,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke ,Non-Spam,yup hey one day fri ask miwa jiayin take leave karaoke,0
786,787,Sen told that he is going to join his uncle finance in cbe,Non-Spam,sen told going join uncle finance cbe,0
787,788,O we cant see if we can join denis and mina? Or does denis want alone time,Non-Spam,cant see join denis mina denis want alone time,0
788,789,U R THE MOST BEAUTIFUL GIRL IVE EVER SEEN. U R MY BABY COME AND C ME IN THE COMMON ROOM,Non-Spam,beautiful girl ive ever seen baby room,0
789,790,Sorry completely forgot * will pop em round this week if your still here?,Non-Spam,sorry forgot pop round week still,0
790,791,Quite lor. But dun tell him wait he get complacent...,Non-Spam,quite lor dun tell wait get,0
791,792,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",Non-Spam,many people seems special first sight remain special till last sight maintain till life end shjas,0
792,793,U repeat e instructions again. Wat's e road name of ur house?,Non-Spam,repeat instruction wat road name house,0
793,794,Ok then u tell me wat time u coming later lor.,Non-Spam,tell wat time later lor,0
794,795,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",Non-Spam,mobile ltgt added contact list great place send free people visit,0
795,796,Hi..i got the money da:),Non-Spam,hii got money,0
796,797,CHEERS LOU! YEAH WAS A GOODNITE SHAME U NEVA CAME! C YA GAILxx,Non-Spam,cheer lou yeah goodnite shame neva came gailxx,0
797,798,watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..,Non-Spam,watever relation built dis world thing remains atlast lonlines lotz lot memory feeling,0
798,799,I'm not sure if its still available though,Non-Spam,sure still available though,0
799,800,Your unique user ID is 1172. For removal send STOP to 87239 customer services 08708034412,Spam,unique user removal send stop customer service,1
800,801,Whens your radio show?,Non-Spam,whens radio show,0
801,802,if you text on your way to cup stop that should work. And that should be BUS,Non-Spam,text way cup stop work bus,0
802,803,Hi.:)technical support.providing assistance to us customer through call and email:),Non-Spam,hitechnical supportproviding assistance customer call email,0
803,804,Prepare to be pleasured :),Non-Spam,prepare pleasured,0
804,805,Me too! Have a lovely night xxx,Non-Spam,lovely night xxx,0
805,806,It's é only $140 ard...É rest all ard $180 at least...Which is é price 4 é 2 bedrm ($900),Non-Spam,ard rest ard leastwhich price bedrm,0
806,807,I'm home. Doc gave me pain meds says everything is fine.,Non-Spam,home doc gave pain med say everything fine,0
807,808,Thanks 4 your continued support Your question this week will enter u in2 our draw 4 £100 cash. Name the NEW US President? txt ans to 80082,Spam,thanks continued support question week enter draw cash name new president txt,1
808,809,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,Spam,urgent mobile number awarded prize guaranteed call land line claim valid ppm,1
809,810,"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around",Non-Spam,hey look like wrong one kappa guy number still phone want text see around,0
810,811,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..,Non-Spam,make life stressfull always find time laugh may add year life surely add life year gud niswt dream,0
811,812,U wan 2 haf lunch i'm in da canteen now.,Non-Spam,wan haf lunch canteen,0
812,813,Ok lor... Or u wan me go look 4 u?,Non-Spam,lor wan look,0
813,814,Cashbin.co.uk (Get lots of cash this weekend!) www.cashbin.co.uk Dear Welcome to the weekend We have got our biggest and best EVER cash give away!! These..,Spam,cashbincouk get lot cash weekend dear weekend got biggest best ever cash give away,1
814,815,Well boy am I glad G wasted all night at applebees for nothing,Non-Spam,well boy glad wasted night applebees nothing,0
815,816,Your weekly Cool-Mob tones are ready to download !This weeks new Tones include: 1) Crazy Frog-AXEL F>>> 2) Akon-Lonely>>> 3) Black Eyed-Dont P >>>More info in n,Spam,weekly coolmob tone ready download week new tone include crazy frogaxel akonlonely black eyeddont info,1
816,817,"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to",Non-Spam,still maybe leave credit card get gas get back like told,0
817,818,Thanx u darlin!im cool thanx. A few bday drinks 2 nite. 2morrow off! Take care c u soon.xxx,Non-Spam,thanx darlinim cool thanx bday drink nite morrow take care soonxxx,0
818,819,The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8,Non-Spam,beauty life next second hide thousand secret wish every second wonderful life gud,0
819,820,"When you just put in the + sign, choose my number and the pin will show. Right?",Non-Spam,put sign choose number pin show right,0
820,821,Orh i tot u say she now still dun believe.,Non-Spam,orh tot say still dun believe,0
821,822,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,Spam,camera awarded sipix digital camera call fromm landline delivery within day,1
822,823,Thinking of u ;) x,Non-Spam,thinking,0
823,824,I am in hospital da. . I will return home in evening,Non-Spam,hospital return home evening,0
824,825,Ya very nice. . .be ready on thursday,Non-Spam,nice ready thursday,0
825,826,Many more happy returns of the day. I wish you happy birthday.,Non-Spam,many happy return day wish happy birthday,0
826,827,"I keep seeing weird shit and bein all ""woah"" then realising it's actually reasonable and I'm all ""oh""",Non-Spam,keep seeing weird shit bein woah realising actually reasonable,0
827,828,We have pizza if u want,Non-Spam,pizza want,0
828,829,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?,Non-Spam,bought test yesterday something let know exact day ovulatewhen get wks pls pls dont fret know worried pls relax also anything past history need tell,0
829,830,"Nt only for driving even for many reasons she is called BBD..thts it chikku, then hw abt dvg cold..heard tht vinobanagar violence hw is the condition..and hw ru ? Any problem?",Non-Spam,driving even many reason called bbdthts chikku abt dvg coldheard tht vinobanagar violence conditionand problem,0
830,831,"Not for possession, especially not first offense",Non-Spam,possession especially first offense,0
831,832,Oh k:)after that placement there ah?,Non-Spam,kafter placement,0
832,833,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,Spam,buy space invader chance win orig arcade game console press game arcade std wap charge see ocoukgames term setting purchase,1
833,834,Good Morning my Dear Shijutta........... Have a great &amp; successful day.,Non-Spam,good morning dear shijutta great amp successful day,0
834,835,Wat time r ü going to xin's hostel?,Non-Spam,wat time going xin hostel,0
835,836,K:)eng rocking in ashes:),Non-Spam,keng rocking ash,0
836,837,I dont know ask to my brother. Nothing problem some thing that. Just i told .,Non-Spam,dont know ask brother nothing problem thing told,0
837,838,I've reached already.,Non-Spam,reached already,0
838,839,I (Career Tel) have added u as a contact on INDYAROCKS.COM to send FREE SMS. To remove from phonebook - sms NO to  &lt;#&gt;,Non-Spam,career tel added contact send free remove phonebook ltgt,0
839,840,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call",Spam,mobile mths update latest cameravideo phone free keep number get extra free minstexts text yes call,1
840,841,Jason says it's cool if we pick some up from his place in like an hour,Non-Spam,jason say cool pick place like hour,0
841,842,"There'll be a minor shindig at my place later tonight, you interested?",Non-Spam,minor shindig place later tonight interested,0
842,843,"FREE GAME. Get Rayman Golf 4 FREE from the O2 Games Arcade. 1st get UR games settings. Reply POST, then save & activ8. Press 0 key for Arcade. Termsapply",Spam,free game get rayman golf free game arcade get game setting reply post save activ press key arcade termsapply,1
843,844,HELLO PEACH! MY CAKE TASTS LUSH!,Non-Spam,hello peach cake tasts lush,0
844,845,"I'm home, my love ... If your still awake ... *loving kiss*",Non-Spam,home love still awake loving kiss,0
845,846,"Yup. Anything lor, if u dun wan it's ok...",Non-Spam,yup anything lor dun wan,0
846,847,Forgot to tell ü smth.. Can ü like number the sections so that it's clearer..,Non-Spam,forgot tell smth like number section clearer,0
847,848,"Aiyo... Her lesson so early... I'm still sleepin, haha... Okie, u go home liao den confirm w me lor...",Non-Spam,aiyo lesson early still sleepin haha okie home liao den confirm lor,0
848,849,My uncles in Atlanta. Wish you guys a great semester.,Non-Spam,uncle atlanta wish guy great semester,0
849,850,"K will do, addie &amp; I are doing some art so I'll be here when you get home",Non-Spam,addie amp art get home,0
850,851,"Hey. What happened? U switch off ur cell d whole day. This isnt good. Now if u do care, give me a call tomorrow.",Non-Spam,hey happened switch cell whole day isnt good care give call tomorrow,0
851,852,S:)8 min to go for lunch:),Non-Spam,min lunch,0
852,853,Oops i thk i dun haf enuff... I go check then tell ü..,Non-Spam,oops thk dun haf enuff check tell,0
853,854,Big brothers really scraped the barrel with this shower of social misfits,Non-Spam,big brother really scraped barrel shower social misfit,0
854,855,Thats cool princess! I will cover your face in hot sticky cum :),Non-Spam,thats cool princess cover face hot sticky cum,0
855,856,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...,Non-Spam,huh slow tot reach long ago liao day leh,0
856,857,Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-),Non-Spam,knw givits thanks kanoanyway enjoy wit family wit salary,0
857,858,"Haha awesome, I might need to take you up on that, what you doin tonight?",Non-Spam,haha awesome might need take doin tonight,0
858,859,"Did you say bold, then torch later. Or one torch and 2bold?",Non-Spam,say bold torch later one torch bold,0
859,860,Wif my family booking tour package.,Non-Spam,wif family booking tour package,0
860,861,Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.,Non-Spam,wow healthy old airport lor cant thk anything else bathing dog later,0
861,862,Hey anyway i have to :-),Non-Spam,hey anyway,0
862,863,Yar but they say got some error.,Non-Spam,yar say got error,0
863,864,Mmmmmmm *snuggles into you* ...*deep contented sigh* ... *whispers* ... I fucking love you so much I can barely stand it ...,Non-Spam,mmmmmmm snuggle deep contented sigh whisper fucking love much barely stand,0
864,865,Anytime...,Non-Spam,anytime,0
865,866,I liked the new mobile,Non-Spam,liked new mobile,0
866,867,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",Spam,win winner foley ipod exciting prize soon keep eye mobile visit,1
867,868,Yes fine ,Non-Spam,yes fine,0
868,869,Don no da:)whats you plan?,Non-Spam,dawhats plan,0
869,870,"Okey dokey, ill be over in a bit just sorting some stuff out.",Non-Spam,okey dokey ill bit sorting stuff,0
870,871,A guy who gets used but is too dumb to realize it.,Non-Spam,guy get used dumb realize,0
871,872,"URGENT! Your Mobile No 07808726822 was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU",Spam,urgent mobile awarded bonus caller prize attempt contact call boxqu,1
872,873,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.,Non-Spam,pls give food preferably pap slowly load sugar take hour give water slowly,0
873,874,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,Non-Spam,tessypls favor pls convey birthday wish nimyapls dnt forget today birthday shijas,0
874,875,"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies",Non-Spam,march ending ready call sure problem capital never far work lady,0
875,876,Surly ill give it to you:-) while coming to review.,Non-Spam,surly ill give review,0
876,877,Ok no prob,Non-Spam,prob,0
877,878,"Didn't try, g and I decided not to head out",Non-Spam,try decided head,0
878,879,Hmmm.but you should give it on one day..,Non-Spam,hmmmbut give one day,0
879,880,Eatin my lunch...,Non-Spam,eatin lunch,0
880,881,But pls dont play in others life.,Non-Spam,pls dont play others life,0
881,882,"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins",Non-Spam,alright bring see like ltgt min,0
882,883,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",Non-Spam,life mean lot love life love people life world call friend call world,0
883,884,Ok u can take me shopping when u get paid =D,Non-Spam,take shopping get paid,0
884,885,"Haha yeah, 2 oz is kind of a shitload",Non-Spam,haha yeah kind shitload,0
885,886,Are you staying in town ?,Non-Spam,staying town,0
886,887,"That's cool he'll be here all night, lemme know when you're around",Non-Spam,cool night lem know around,0
887,888,Sry da..jst nw only i came to home..,Non-Spam,sry dajst came home,0
888,889,It is a good thing I'm now getting the connection to bw,Non-Spam,good thing getting connection,0
889,890,Wewa is 130. Iriver 255. All 128 mb.,Non-Spam,wewa iriver,0
890,891,Ü ready then call me...,Non-Spam,ready call,0
891,892,"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text",Spam,babe chloe smashed saturday night great weekend missing text stop stop ptext,1
892,893,I'm leaving my house now.,Non-Spam,leaving house,0
893,894,I forgot 2 ask ü all smth.. There's a card on da present lei... How? Ü all want 2 write smth or sign on it?,Non-Spam,forgot ask smth card present lei want write smth sign,0
894,895,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114",Spam,customer service announcement recently tried make delivery unable please call reschedule ref,1
895,896,"Probably not, I'm almost out of gas and I get some cash tomorrow",Non-Spam,probably almost gas get cash tomorrow,0
896,897,"I didnt get ur full msg..sometext is missing, send it again",Non-Spam,didnt get full msgsometext missing send,0
897,898,"When I was born, GOD said, ""Oh No! Another IDIOT"". When you were born, GOD said, ""OH No! COMPETITION"". Who knew, one day these two will become FREINDS FOREVER!",Non-Spam,born god said another idiot born god said knew one day two freinds forever,0
898,899,IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO ,Non-Spam,realy soz imat mum nite moro,0
